,Peak,Name,Citizenship,Sex,Age,Oxy,Dth,Host,Year,Season,Month,Day,Time
0,EVER,Tenzing Norgay ,India,M,39,Yes,No,Nepal,1953,Spr,May,29,11:30
1,EVER,Edmund Percival Hillary,New Zealand,M,33,Yes,No,Nepal,1953,Spr,May,29,11:30
2,EVER,Juerg P. Marmet,Switzerland,M,28,Yes,No,Nepal,1956,Spr,May,23,14:00
3,EVER,Ernst Schmied,Switzerland,M,31,Yes,No,Nepal,1956,Spr,May,23,14:00
4,EVER,Adolf (Dolf) Reist,Switzerland,M,35,Yes,No,Nepal,1956,Spr,May,24,11:00
5,EVER,Hans-Rudolf Von Gunten,Switzerland,M,27,Yes,No,Nepal,1956,Spr,May,24,11:00
6,EVER,Gombu (Konbu) ,China,M,25,Yes,No,China,1960,Spr,May,25,2:05
7,EVER,Ying-Hua Qu,China,M,25,Yes,No,China,1960,Spr,May,25,2:05
8,EVER,Fu-Chou Wang,China,M,24,Yes,No,China,1960,Spr,May,25,2:05
9,EVER,Nawang Gombu ,India,M,26,Yes,No,Nepal,1963,Spr,May,1,13:00
10,EVER,James W. (Jim) Whittaker,USA,M,34,Yes,No,Nepal,1963,Spr,May,1,13:00
11,EVER,Barry Chapman Bishop,USA,M,31,Yes,No,Nepal,1963,Spr,May,22,15:30
12,EVER,Luther Gerald (Lute) Jerstad,USA,M,26,Yes,No,Nepal,1963,Spr,May,22,15:30
13,EVER,Thomas Frederick Hornbein,USA,M,32,Yes,No,Nepal,1963,Spr,May,22,18:30
14,EVER,William Francis (Willi) Unsoeld,USA,M,36,Yes,No,Nepal,1963,Spr,May,22,18:30
15,EVER,Nawang Gombu ,India,M,28,Yes,No,Nepal,1965,Spr,May,20,9:30
16,EVER,Autar Singh Cheema,India,M,27,Yes,No,Nepal,1965,Spr,May,20,9:30
17,EVER,Sonam Gyatso ,India,M,42,Yes,No,Nepal,1965,Spr,May,22,12:30
18,EVER,Sonam Wangyal ,India,M,23,Yes,No,Nepal,1965,Spr,May,22,12:30
19,EVER,Ang Kami Sherpa,India,M,NaN,Yes,No,Nepal,1965,Spr,May,24,10:45
20,EVER,C. P. Vohra,India,M,30,Yes,No,Nepal,1965,Spr,May,24,10:45
21,EVER,Hari Pal Singh Ahluwalia,India,M,27,Yes,No,Nepal,1965,Spr,May,29,10:00
22,EVER,Harish Chandra Singh Rawat,India,M,30,Yes,No,Nepal,1965,Spr,May,29,10:00
23,EVER,"Phu Dorje Sherpa (Khumjung, Khumbu)",Nepal,M,27,Yes,No,Nepal,1965,Spr,May,29,10:00
24,EVER,Teruo Matsuura,Japan,M,36,Yes,No,Nepal,1970,Spr,May,11,9:10
25,EVER,Naomi Uemura,Japan,M,29,Yes,No,Nepal,1970,Spr,May,11,9:10
26,EVER,Katsutoshi Hirabayashi,Japan,M,35,Yes,No,Nepal,1970,Spr,May,12,9:55
27,EVER,"Chotare Sherpa (Namche Bazar, Khumbu)",Nepal,M,37,Yes,No,Nepal,1970,Spr,May,12,9:55
28,EVER,Rinaldo Carrel,Italy,M,21,Yes,No,Nepal,1973,Spr,May,5,12:39
29,EVER,Mirko Minuzzo,Italy,M,26,Yes,No,Nepal,1973,Spr,May,5,12:39
30,EVER,"Lhakpa Tenzing Sherpa (Namche Bazar, Khumbu)",Nepal,M,32,Yes,No,Nepal,1973,Spr,May,5,12:39
31,EVER,"Shambu Tamang (Lisankhu, Sindhupalchowk)",Nepal,M,17,Yes,No,Nepal,1973,Spr,May,5,12:39
32,EVER,Claudio Benedetti,Italy,M,27,Yes,No,Nepal,1973,Spr,May,7,13:00
33,EVER,Virginio Epis,Italy,M,41,Yes,No,Nepal,1973,Spr,May,7,13:00
34,EVER,Fabrizio Innamorati,Italy,M,30,Yes,No,Nepal,1973,Spr,May,7,13:00
35,EVER,"Sonam Gyaltzen Sherpa (Bagam, Taksindu, Solukhumbu)",Nepal,M,29,Yes,No,Nepal,1973,Spr,May,7,13:00
36,EVER,Hisashi Ishiguro,Japan,M,28,Yes,No,Nepal,1973,Aut,Oct,26,16:30
37,EVER,Yasuo Kato,Japan,M,24,Yes,No,Nepal,1973,Aut,Oct,26,16:30
38,EVER,"Ang Tshering Sherpa (Namche Bazar, Khumbu)",Nepal,M,25,Yes,No,Nepal,1975,Spr,May,16,12:30
39,EVER,Junko Tabei,Japan,F,35,Yes,No,Nepal,1975,Spr,May,16,12:30
40,EVER,Da Phuntsok (Darphuntso) ,China,M,30,Yes,No,China,1975,Spr,May,27,12:15
41,EVER,Kunga Pasang (Gonga Basang) ,China,M,27,Yes,No,China,1975,Spr,May,27,12:15
42,EVER,Lhotse (Louze) ,China,M,36,Yes,No,China,1975,Spr,May,27,12:15
43,EVER,Ngapo Khyen (Abu Qin) ,China,M,18,Yes,No,China,1975,Spr,May,27,12:15
44,EVER,"Phantog (Phandu, Pando) ",China,F,36,Yes,No,China,1975,Spr,May,27,12:15
45,EVER,Samdrup (Samdruk) ,China,M,22,Yes,No,China,1975,Spr,May,27,12:15
46,EVER,Sonam Norbu ,China,M,28,Yes,No,China,1975,Spr,May,27,12:15
47,EVER,Tsering Tobgyal ,China,M,NaN,Yes,No,China,1975,Spr,May,27,12:15
48,EVER,Sheng-Fu Hou,China,M,35,Yes,No,China,1975,Spr,May,27,12:30
49,EVER,Dougal Haston,UK,M,33,Yes,No,Nepal,1975,Aut,Sep,24,18:00
50,EVER,Douglas Keith (Doug) Scott,UK,M,34,Yes,No,Nepal,1975,Aut,Sep,24,18:00
51,EVER,Peter David Boardman,UK,M,24,Yes,No,Nepal,1975,Aut,Sep,26,13:10
